序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,Max_Close_7,Max_Date_7,天数_7,收益率_7,Max_Close_30,Max_Date_30,天数_30,收益率_30,Max_Close_90,Max_Date_90,天数_90,收益率_90
74,688084,晶品特装,2022/12/31,20221208,66.82,60.98,2022/12/8,1.8,-0.7,-4.43%,44.47,0.02,0.08,98.99,2022/12/14,6,0.62,98.99,2022/12/14,6,0.62,98.98999786,2022/12/14,6,0.623319086
75,688085,三友医疗,2020/4/30,20200409,71.29,20.96,2020/4/9,3.3,-3.1,6.01%,71.76,0.17,-0.02,37.79,2020/4/10,1,0.80,45.36,2020/5/6,27,1.16,71.08631897,2020/6/30,82,2.391522852
76,688086,*ST紫晶,2020/2/29,20200226,69.43,21.49,2020/2/26,5.2,-0.4,3.57%,264.08,-0.11,-0.03,77.50,2020/2/26,0,2.61,77.50,2020/2/26,0,2.61,77.50177765,2020/2/26,0,2.606411245
77,688087,英科再生,2021/7/31,20210709,76.61,21.96,2021/7/9,1,9,1.21%,255.28,0.12,0.23,114.73,2021/7/14,5,4.22,118.67,2021/7/21,12,4.40,118.673317,2021/7/21,12,4.404067257
78,688088,虹软科技,2019/7/31,20190722,79.57,28.88,2019/7/22,2.8,-0.3,-2.19%,126.97,-0.10,0.05,64.61,2019/7/22,0,1.24,84.64,2019/8/5,14,1.93,84.63977814,2019/8/5,14,1.93074024
80,688090,瑞松科技,2020/2/29,20200217,75.69,27.55,2020/2/17,5.2,-0.4,6.16%,263.01,-0.07,0.00,98.46,2020/2/17,0,2.57,98.46,2020/2/17,0,2.57,98.46496582,2020/2/17,0,2.574045946
81,688091,上海谊众,2021/9/30,20210909,68.28,38.1,2021/9/9,0.7,10.7,2.19%,28.58,-0.15,-0.05,32.64,2021/9/9,0,-0.14,32.64,2021/9/9,0,-0.14,36.26697922,2021/11/23,75,-0.048110782
82,688092,爱科科技,2021/3/31,20210319,85.34,19.11,2021/3/19,0.4,4.4,1.83%,128.21,-0.05,-0.11,42.80,2021/3/19,0,1.24,42.80,2021/3/19,0,1.24,42.79615402,2021/3/19,0,1.239463842
83,688093,世华科技,2020/9/30,20200930,66.82,17.55,2020/9/30,1.7,-2.1,-6.93%,62.22,-0.04,0.01,20.09,2020/9/30,0,0.14,20.11,2020/10/13,13,0.15,21.04903984,2020/11/20,51,0.199375489
84,688095,福昕软件,2020/9/30,20200908,67.53,238.53,2020/9/8,1.7,-2.1,-6.71%,29.66,0.06,-0.05,253.31,2020/9/11,3,0.06,257.32,2020/9/18,10,0.08,257.3194885,2020/9/18,10,0.078772014
